id,area,feature,original_scope,milestone,status,treatment,acceptance,decision
C-01,customer,Browse services,MVP,M3,not_started,retained,Show active service price duration deposit and 56px thumbnail,D-001
C-02,customer,Barber price override,MVP,M3,not_started,retained,Apply eligible barber price and explain override chip,D-001
C-03,customer,Add-ons,MVP,M3,not_started,retained,Separate summary rows and revalidate price duration and slot,O-09
C-04,customer,Search services barbers and add-ons,MVP,M3,not_started,retained,Shop-scoped server prefix search on name and category,D-001
C-05,customer,Popular filter,MVP,M3,not_started,retained,Filter uses service popular flag and supports empty state,D-001
C-06,customer,Active barbers,MVP,M3,not_started,retained,Only eligible active staff can be selected,D-001
C-07,customer,Availability badges,MVP,M3,not_started,retained,Badges come from authoritative availability and show freshness,D-001
C-08,customer,Rating role and next slot,MVP,M3,not_started,retained,Show real rating or no-reviews state and computed next slot,D-001
C-09,customer,Un-onboarded barber warning,MVP,M4,not_started,adapted,Shop payment readiness gates checkout not externally paid barber KYC,D-002
C-10,customer,Seven-day date strip,MVP,M3,not_started,retained,Mon-Sun strip has accessible selected date and correct slot counts,D-001
C-11,customer,Fifteen-minute slot grid,MVP,M3,not_started,retained,Three-column eligible start grid reflects exact occupancy and past slots,O-09
C-12,customer,Conflict detection,MVP,M3,not_started,retained,Selection feedback plus atomic submit returns 409 slot_taken,D-004
C-13,customer,Ten-minute buffer,MVP,M3,not_started,retained,Every booking channel enforces buffer including duration overrides,O-09
C-14,customer,Shop timezone display,MVP,M3,not_started,adapted,Shop IANA timezone governs web and native display with DST tests,D-008
C-15,customer,Today tomorrow and daypart filters,MVP,M3,not_started,retained,Filters update slots without silently changing selected appointment,D-001
C-16,customer,Customer name,MVP,M3,not_started,retained,Trimmed name requires at least two characters with inline error,D-001
C-17,customer,UK phone,MVP,M3,not_started,retained,Normalize valid UK numbers without using phone as proof of identity,O-07
C-18,customer,Optional email,MVP,M4,not_started,retained,Validate when supplied and apply agreed fallback delivery policy,O-15
C-19,customer,Booking notes,MVP,M3,not_started,retained,Enforce 500-character limit and role-limited sensitive note access,O-10
C-20,customer,Save-card consent,MVP,M4,not_started,retained,Explicit versioned opt-in separate from off-session consent,O-06
C-21,customer,Native Stripe PaymentSheet,MVP,M9,not_started,scope_decision,Native account-context checkout tested on actual target devices,O-02
C-22,customer,Web Stripe Payment Element,MVP,M4,not_started,retained,Server creates shop-context payment and client cannot dictate amount,O-06
C-23,customer,Deposit-only charge,MVP,M4,not_started,policy_decision,Charge agreed fixed or overridden deposit and show remaining balance,O-05
C-24,customer,Saved card checkout,MVP,M4,not_started,retained,Only authenticated authorized customer accesses shop-context saved methods,O-06
C-25,customer,Cancellation reminder banner,MVP,M3,not_started,retained,Visible policy and exact cutoff before payment,O-09
C-26,customer,Submit idempotency,MVP,M4,not_started,retained,Attempt key is scoped and payload-bound with safe replay,D-004
C-27,customer,Ten-minute checkout hold,MVP,M3,not_started,retained,Server-issued expiry and atomic reclamation with late-success recovery,D-004
C-28,customer,Payment retry preserves form,MVP,M4,not_started,retained,Decline dismissal and reload recovery cannot duplicate an attempt,D-005
C-29,customer,Sequential booking reference,MVP,M3,not_started,retained,Atomic unique shop sequence BRB-NNNN is not an access credential,D-001
C-30,customer,Confirmation SMS and email,MVP,M4,not_started,retained,Verified payment outcome creates durable deduplicated delivery jobs,O-15
C-31,customer,Opt-in push confirmation,MVP,M5,not_started,adapted,Web push supported-device path with fallback and separate Expo implementation,D-008
C-32,customer,Add to calendar,MVP,M4,not_started,retained,Timezone-correct ICS and Google link without private access-token leakage,D-001
C-33,customer,Manage booking shortcut,MVP,M4,not_started,scope_decision,MVP secure details and contact-shop action unless self-service scope approved,O-02
C-34,customer,Copy reference,MVP,M4,not_started,adapted,Web Clipboard with fallback and accessible copied feedback,D-008
C-35,customer,Upcoming bookings,MVP,M4,not_started,retained,Verified customer sees only own upcoming appointments and balances,O-07
C-36,customer,Past bookings,MVP,M6,not_started,retained,Show actual receipt service price and review eligibility,D-001
C-37,customer,Cancelled bookings,MVP,M4,not_started,retained,Show permitted reason and truthful refund status,D-005
C-38,customer,Self-service reschedule,v1.5,LATER,not_started,deferred,Policy boundary and atomic move retain payment allocation,D-006
C-39,customer,Early cancellation refund,v1.5,LATER,not_started,deferred,Authorized cancellation requests full eligible deposit refund,O-09
C-40,customer,Late cancellation,v1.5,LATER,not_started,deferred,Explicit forfeiture warning and exact policy cutoff,O-09
C-41,customer,Post-visit review,MVP,M6,not_started,retained,One eligible review per completed booking with 1-5 validation,O-17
C-42,customer,No-show off-session consent,v1.5,LATER,not_started,deferred,Separate consent and SCA recovery before any charge,O-06
C-43,customer,Loyalty points,v1.5,LATER,not_started,deferred,Auditable earn redeem and reversal policy before launch,D-001
C-44,customer,Membership tiers,v1.5,LATER,not_started,deferred,Customer membership separate from SaaS shop subscription,D-001
